© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Lipid Antigen Presentation by CD1	-0E00	3.85E-02	NaN	FCER1G
Cell Cycle Regulation by BTG Family Proteins	-0E00	2.7E-02	NaN	CCND1
Corticotropin Releasing Hormone Signaling	-0E00	5.76E-02	0.000	PRKACB,CALM1 (includes others),JUN,PRKCH,POMC,MEF2C,MAPK13,CACNA2D4
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	8.77E-02	NaN	PCNA,HUS1,RPA1,RAD50,CDK1
Human Embryonic Stem Cell Pluripotency	-0E00	7.69E-02	NaN	PIK3R3,FOXO1,FGFR1,PIK3R1,PIK3R6,MRAS,S1PR1,FZD1,TCF3,PDGFC,WNT5A
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	6.52E-02	NaN	KDM5B,SPP1,REST
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00	7.81E-02	-2.828	PIK3R3,RAP2B,RAP2A,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,FZD1,WNT5A
Type I Diabetes Mellitus Signaling	-0E00	7.21E-02	-1.000	HLA-DOA,CD80,HLA-DMA,HLA-DMB,FCER1G,IFNGR1,MAPK13,IL1RAP
Basal Cell Carcinoma Signaling	-0E00	4.17E-02	NaN	FZD1,TCF3,WNT5A
Primary Immunodeficiency Signaling	-0E00	6E-02	NaN	IL7R,BLNK,CD4
Type II Diabetes Mellitus Signaling	-0E00	7.14E-02	-1.633	PIK3R3,PPARG,ACSL3,SMPD4,FGFR1,PIK3R1,PIK3R6,SLC27A1,SMPD1,PRKCH,CACNA2D4
Cleavage and Polyadenylation of Pre-mRNA	-0E00	8.33E-02	NaN	CPSF3
G Beta Gamma Signaling	-0E00	8.33E-02	-1.265	RAP2B,PRKACB,RAP2A,SOS2,GNG2,MRAS,PRKCH,CACNA2D4,GNG12,GNAL
Communication between Innate and Adaptive Immune Cells	-0E00	8.33E-02	NaN	IL18,TLR5,CD80,IL10,CD4,TLR6,FCER1G,CCL5
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	6.74E-02	NaN	CD209,IL18,CD80,TYROBP,TREM2,MICA
EIF2 Signaling	-0E00	8.37E-02	-2.673	RAP2B,RAP2A,DDIT3,RPL36AL,PIK3R1,FGFR1,EIF5B,SOS2,CCND1,EIF4E,PIK3R3,RPL26L1,EIF4A3,CDK11A,RPS27L,PIK3R6,MRAS,AGO1,EIF1AX
April Mediated Signaling	-0E00	7.69E-02	NaN	JUN,NFATC2,MAPK13
Retinoic acid Mediated Apoptosis Signaling	-0E00	1.61E-02	NaN	PARP15
Protein Kinase A Signaling	-0E00	8.46E-02	-0.378	PRKACB,FLNB,HIST1H1C,YWHAH,BAD,MYL6,AKAP9,TIMM50,ANAPC10,MYL6B,CDC23,PPP1R14B,PHKB,PPP1R10,GDE1,ANAPC11,DUSP12,APEX1,GNG12,PDE6B,GNG2,PYGL,TCF3,PDE8A,CALM1 (includes others),HIST1H1E,NFATC2,PLCB3,PRKCH,PTPRA,PTPN22,CDC27,PDE6D,DUSP16
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	3.33E-02	NaN	PRKACB,CFD,MMP9,ACE
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	3.9E-02	NaN	FZD1,TCF3,WNT5A
TWEAK Signaling	-0E00	2.86E-02	NaN	TNFRSF12A
TNFR1 Signaling	-0E00	4E-02	NaN	JUN,CASP2
TNFR2 Signaling	-0E00	3.33E-02	NaN	JUN
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	-0E00	6.33E-02	-1.342	PIK3R3,FGFR1,PIK3R1,PIK3R6,CCL5
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00	6.98E-02	NaN	IL18,CCL2,CCL5
Antiproliferative Role of TOB in T Cell Signaling	-0E00	3.85E-02	NaN	TOB1
MSP-RON Signaling Pathway	-0E00	8.33E-02	NaN	PIK3R3,CCL2,FGFR1,PIK3R1,PIK3R6,RPS6KA2
Inhibition of Angiogenesis by TSP1	-0E00	8.82E-02	NaN	JUN,MAPK13,MMP9
Tumoricidal Function of Hepatic Natural Killer Cells	-0E00	4.17E-02	NaN	AIFM1
Intrinsic Prothrombin Activation Pathway	-0E00	4.76E-02	NaN	PROS1,THBD
Cyclins and Cell Cycle Regulation	-0E00	7.41E-02	NaN	HDAC1,HDAC7,ABL1,CDK6,CCND1,CDK1
Assembly of RNA Polymerase I Complex	-0E00	8.33E-02	NaN	POLR2F
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00	8.7E-02	1.000	CCL2,CXCL1,RPS6KA2,CCL7
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	-0E00	4.17E-02	NaN	IFNGR1
Role of JAK2 in Hormone-like Cytokine Signaling	-0E00	2.94E-02	NaN	HLTF
Role of JAK family kinases in IL-6-type Cytokine Signaling	-0E00	4E-02	NaN	MAPK13
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	3.66E-02	0.000	PRKACB,CALM1 (includes others),PPP1R10,PLCB3,PRKCH,PPP1R14B
Gap Junction Signaling	-0E00	7.46E-02	NaN	RAP2B,PRKACB,RAP2A,TUBB4B,FGFR1,PIK3R1,SOS2,TUBB2A,TUBB,PIK3R3,PIK3R6,MRAS,PLCB3,TUBA1C,PRKCH
Hematopoiesis from Pluripotent Stem Cells	-0E00	6.12E-02	NaN	IL10,CD4,FCER1G
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	5.56E-02	NaN	HIST1H4C,REST,ZFHX3
eNOS Signaling	-0E00	8.14E-02	-0.535	PRKACB,PIK3R1,FGFR1,HSPA6,VEGFB,HSPA2,PDGFC,PIK3R3,CALM1 (includes others),NOSIP,LPAR6,LPAR5,PIK3R6,PRKCH
nNOS Signaling in Neurons	-0E00	6.38E-02	NaN	CALM1 (includes others),PRKCH,RASD1
nNOS Signaling in Skeletal Muscle Cells	-0E00	4.88E-02	NaN	CALM1 (includes others),CACNA2D4
Estrogen-mediated S-phase Entry	-0E00	7.69E-02	NaN	CCND1,CDK1
Netrin Signaling	-0E00	6.15E-02	NaN	PRKACB,RAC1,NFATC2,CACNA2D4
Bupropion Degradation	-0E00	4E-02	NaN	CYP19A1
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	4.65E-02	NaN	EXT2,SULT1A1
Nicotine Degradation III	-0E00	3.57E-02	NaN	EXT2,CYP19A1
Ubiquinol-10 Biosynthesis (Eukaryotic)	-0E00	5.56E-02	NaN	COQ2
CDP-diacylglycerol Biosynthesis I	-0E00	8.33E-02	NaN	AGPAT5,CDS2
Melatonin Degradation I	-0E00	4.62E-02	NaN	EXT2,CYP19A1,SULT1A1
Estrogen Biosynthesis	-0E00	7.32E-02	NaN	CYP19A1,HSD17B4,HSD17B14
Urate Biosynthesis/Inosine 5'-phosphate Degradation	-0E00	7.69E-02	NaN	NT5C3B
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	8.7E-02	-1.000	SULT1A1,HS2ST1,HS3ST1,CHST13
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	8.33E-02	-2.309	DUSP28,NUDT5,DUSP23,NUDT14,NUDT2,ACP5,PPP4R1,DUSP12,PPP1R14B,PTPN22,NUDT1,DUSP16
Nicotine Degradation II	-0E00	3.08E-02	NaN	EXT2,CYP19A1
Superpathway of Inositol Phosphate Compounds	-0E00	8.9E-02	-3.710	DUSP28,PIK3R1,FGFR1,NUDT14,ACP5,NUDT2,PPP4R1,PPP1R14B,PIK3R3,NUDT5,PIP4P2,CD80,PI4K2A,PIK3R6,DUSP23,PLCB3,DUSP12,PIP4K2C,PTPN22,NUDT1,DUSP16
Purine Nucleotides Degradation II (Aerobic)	-0E00	5.26E-02	NaN	NT5C3B
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	8.33E-02	-2.309	DUSP28,NUDT5,DUSP23,NUDT14,NUDT2,ACP5,PPP4R1,DUSP12,PPP1R14B,PTPN22,NUDT1,DUSP16
3-phosphoinositide Degradation	-0E00	8.86E-02	-2.673	DUSP28,PTPMT1,NUDT14,PPP4R1,NUDT2,ACP5,PPP1R14B,NUDT5,PIP4P2,DUSP23,DUSP12,PTPN22,NUDT1,DUSP16
Tryptophan Degradation III (Eukaryotic)	-0E00	8E-02	NaN	HSD17B4,HADH
Triacylglycerol Biosynthesis	-0E00	6.52E-02	NaN	PLPP5,AGPAT5,PLPP3
Glycolysis I	-0E00	7.69E-02	NaN	TPI1,ENO2
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	8.16E-02	-1.000	SULT1A1,HS2ST1,HS3ST1,CHST13
Guanosine Nucleotides Degradation III	-0E00	8.33E-02	NaN	NT5C3B
Adenosine Nucleotides Degradation II	-0E00	6.25E-02	NaN	NT5C3B
Superpathway of Melatonin Degradation	-0E00	5.71E-02	0.000	EXT2,CYP19A1,SULT1A1,MAOA
Acetone Degradation I (to Methylglyoxal)	-0E00	6.67E-02	NaN	FAM213B,CYP19A1
Methionine Degradation I (to Homocysteine)	-0E00	4.35E-02	NaN	MGMT
Superpathway of Methionine Degradation	-0E00	2.63E-02	NaN	MGMT
Gαi Signaling	-0E00	8.13E-02	-2.333	ADRA2B,RAP2B,PRKACB,RAP2A,SOS2,GNG2,MRAS,S1PR1,ADORA3,GNG12
Gαs Signaling	-0E00	3.64E-02	NaN	PRKACB,GNG2,MRAS,GNG12
Cysteine Biosynthesis III (mammalia)	-0E00	4E-02	NaN	MGMT
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00	8.72E-02	NaN	RAP2B,RAP2A,ID2,PIK3R1,EGR1,FGFR1,SOS2,MMP2,HIF1A,FZD1,TCF3,PIK3R3,HGF,PIK3R6,MRAS,MMP9,WNT5A
Sperm Motility	-0E00	8.66E-02	-1.000	PLA2G16,PRKACB,CALM1 (includes others),SLC16A10,TWF1,SLC12A2,PLA2G4C,MRAS,PLCB3,PRKCH,PLA2G12A
STAT3 Pathway	-0E00	8.74E-02	-1.000	RAP2B,RAP2A,FGFR1,HGF,MRAS,RAC1,MAPK13,TNFRSF11A,NDUFA13
HIPPO signaling	-0E00	3.45E-02	NaN	PPP1R10,YWHAH,PPP1R14B
Parkinson's Signaling	-0E00	6.25E-02	NaN	MAPK13
Nitric Oxide Signaling in the Cardiovascular System	-0E00	7.96E-02	-1.000	PIK3R3,PRKACB,CALM1 (includes others),FGFR1,PIK3R1,PIK3R6,VEGFB,PRKCH,PDGFC
Amyloid Processing	-0E00	5.88E-02	NaN	PRKACB,BACE1,MAPK13
FGF Signaling	-0E00	8.79E-02	-2.121	PIK3R3,PIK3R1,FGFR1,HGF,SOS2,PIK3R6,RAC1,MAPK13
GABA Receptor Signaling	-0E00	4.21E-02	NaN	UBB,MRAS,CACNA2D4,ALDH9A1
Wnt/β-catenin Signaling	-0E00	6.4E-02	0.333	SOX4,APPL1,UBB,JUN,HDAC1,RUVBL2,MDM2,FZD1,TCF3,CCND1,WNT5A
Serotonin Receptor Signaling	-0E00	6.98E-02	NaN	PCBD1,QDPR,MAOA
Sonic Hedgehog Signaling	-0E00	6.67E-02	NaN	PRKACB,CDK1
Death Receptor Signaling	-0E00	5.38E-02	-1.342	TNFRSF21,PARP15,CASP2,SPTAN1,HSPB1
cAMP-mediated signaling	-0E00	6.14E-02	-1.941	PRKACB,ADRA2B,CAMK1,AKAP9,ADORA3,PDE8A,CALM1 (includes others),PKIB,GDE1,S1PR1,APEX1,GNAL,PDE6B,PDE6D
p38 MAPK Signaling	-0E00	8.4E-02	-1.667	IL1R2,IL18,DDIT3,PLA2G4C,MEF2C,RPS6KA2,MAPK13,IL1RAP,HSPB1,PLA2G12A
Glutamate Receptor Signaling	-0E00	5.26E-02	NaN	CALM1 (includes others),GNG2,SLC1A3
TGF-β Signaling	-0E00	7.53E-02	-1.890	RAP2B,RAP2A,JUN,SOS2,HDAC1,MRAS,MAPK13
Apoptosis Signaling	-0E00	8.33E-02	0.707	RAP2B,RAP2A,BAD,CASP2,MRAS,SPTAN1,CDK1,AIFM1
Notch Signaling	-0E00	5.26E-02	NaN	HES1,RFNG
G-Protein Coupled Receptor Signaling	-0E00	7.45E-02	NaN	RAP2B,PRKACB,ADRA2B,RAP2A,PIK3R1,FGFR1,SOS2,RGS16,ADORA3,PDE8A,PIK3R3,HRH1,GDE1,PIK3R6,MRAS,S1PR1,PLCB3,APEX1,GNAL,PDE6B,PDE6D
BMP signaling pathway	-0E00	7.32E-02	-0.816	RAP2B,PRKACB,RAP2A,JUN,MRAS,MAPK13
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	4.11E-02	NaN	PRKACB,NMB,PLCB3
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	7.14E-02	-1.414	PRKACB,FFAR4,GNG2,LPAR5,PLCB3,PRKCH,CACNA2D4,GNG12
Gustation Pathway	-0E00	5.84E-02	NaN	PDE8A,PRKACB,LPAR6,GDE1,GNG2,CACNA2D4,APEX1,PDE6B,PDE6D
Opioid Signaling Pathway	-0E00	7.72E-02	-1.886	RAP2B,PRKACB,RAP2A,RGS1,CAMK1,BAD,GNG2,SOS2,RAC1,RGS16,POMC,SLC12A5,CALM1 (includes others),CLTA,MRAS,PRKCH,RPS6KA2,CACNA2D4,GNAL
Th17 Activation Pathway	-0E00	5.49E-02	-0.447	IL10,FCER1G,NFATC2,CCL20,HIF1A
SPINK1 Pancreatic Cancer Pathway	-0E00	6.67E-02	2.000	CTSA,CPQ,CPM,CTSB
Calcium Signaling	-0E00	7.77E-02	-2.333	RAP2B,PRKACB,RAP2A,CAMK1,MYL6,ATP2C1,HDAC1,MYL6B,CALM1 (includes others),RCAN1,HDAC7,NFATC2,MEF2C,ASPH,CACNA2D4,ATP2B4
